text;Hate.speech;Sexism;Body;Racism;Ideology;Homophobia;Origin;Religion;Health;OtherLifestyle;Migrants;Ageing
"RT @rpsantos1970: A Alemanha já não é segura, a Europa já não é segura.
A culpa é dos políticos traidores.
Islão, aqui não! https://t.co/qA _";1;0;0;0;0;0;0;1;0;0;0;0
RT @eviesramos: eu amo a indústria sapatao brasileira https://t.co/zFYB8TgiA0;1;0;0;0;0;1;0;0;0;0;0;0
O que essa mulher está falando ??? Eu tô esperando pela comida e ela falando sobre sla. Me senti burra #MasterChefBR;1;1;0;0;0;0;0;0;0;0;0;0
"Prefiro ser magrela como a piranha diz .. do que ser gorda feia como ela é 
#Afrontaaaaaaaaabbê  https://t.co/QUc3onlGDo";1;1;1;0;0;0;0;0;0;0;0;0
"DICA DE FANTASIA BARATA PARA CURTIR O CARNAVAL:
1. MARQUE DE IR EM UM BLOCO
2. NÃO APAREÇA
3. DIGA QUE FOI FANTASIADO DE “PAI DE FEMINISTA”";1;1;0;0;1;0;0;0;0;0;0;0
@gentebranca1 os negro não tá nem aí pode usar o que quiser http://t.co/gX57yWDWvN;0;0;0;0;0;0;0;0;0;0;0;0
@AleMagnnusb não é racismo nem machismo esteriotipar uma mulher por causa dolugar que ela nasceu ne claro que não;1;1;0;0;0;0;0;0;0;0;0;0
@jeanwyllys_real Olha a loucura da militancia.... mulher trans, traduzindo homem tambem é MULHER. nao. são homens.. _ https://t.co/nb4o8l6plQ;1;1;0;0;0;0;0;0;0;0;0;0
@vt_008 sinto cheiro de sapatao riririri;1;0;0;0;0;1;0;0;0;0;0;0
"não se esqueça que se vc votou na dilma votou no temer tb 
agora n reclama";0;0;0;0;0;0;0;0;0;0;0;0
Eu sou bi e não sapatão. E mesmo se eu fosse, ninguém tem nada a ver com isso!;1;0;0;0;0;1;0;0;0;0;0;0
Agora pareço aqueles gajos que se viram para as fufas e dizem que ela são fufas pq nunca experimentaram pila (????????) Lol;1;0;0;0;0;1;0;0;0;0;0;0
@Estadao @gugachacra refugiados que a imprensa não mostra https://t.co/01MHqDPgLx;0;0;0;0;0;0;0;0;0;0;0;0
Mulher boa é assim https://t.co/593O7QgDM7;1;1;0;0;0;0;0;0;0;0;0;0
Diz q é negra só pra reclamar de racismo pfff;0;0;0;0;0;0;0;0;0;0;0;0
O desejo do homem é pela mulher, mas o desejo da mulher é pelo desejo do homem. Ou mais... #MulherDeVerdade;1;1;0;0;0;0;0;0;0;0;0;0
Mulher burra mano! Em vez de mandar a porra do comprovante pra mim, manda pro diretório acadêmico do caralho da UNT!;1;1;0;0;0;0;0;0;0;0;0;0
O Canadá quer receber 40 mil refugiados,resumindo 40 mil desempregados.Isso não explicam para a população.;1;0;0;0;0;0;0;0;0;0;1;0
"Quis me chamar de sapatão? 
Logo eu, que peguei tua irmã ";1;0;0;0;0;1;0;0;0;0;0;0
Bue fufas tão a seguir no insta pq wtf;1;0;0;0;0;1;0;0;0;0;0;0
RT @brptrcch: vcs podem ter grupos de amigos bons mas nenhum como esse de sapatao https://t.co/qZF6Yyc00B;1;0;0;0;0;1;0;0;0;0;0;0
LOL Não têm vergonha. E seis milhões de bilhetes IDA de avião para os refugiados que já cá estão? https://t.co/JHAdv7DClo;1;0;0;0;0;0;0;0;0;0;1;0
Qdo vc vê q a mulher q vc gosta te bloqueou só pq vc comeu outra https://t.co/XulXyHzpyL;1;1;0;0;0;0;0;0;0;0;0;0
"Estava a passar um casal de fufas por nós e a luana só grita ""HA BUE FUFONAS EM ALMADA""";1;0;0;0;0;1;0;0;0;0;0;0
"Não tem problema nenhum o cara usar saia, mas por favor, não fale q é coisa d homem hétero, brasileiro,não indígena.
Quem usa saia é viado!";1;1;0;0;0;1;0;0;0;0;0;0
Hoje, bem sapatao pra aula de futebol e futsal;1;0;0;0;0;1;0;0;0;0;0;0
Bem Os Paises Socialistas São Angola, Cuba, Venezuela e Coreia Do Norte @prof_igor_hist Quer Dizer Que Não São Ditaduras Militante Petista ?;0;0;0;0;0;0;0;0;0;0;0;0
feministas deveriam passar 18 horas por dia lavando louça, sem descanso!;1;1;0;0;1;0;0;0;0;0;0;0
Status: pegando o Uber mais clichê da vida ca sapatão ouvindo Ana Carolina.;1;0;0;0;0;1;0;0;0;0;0;0
-Mãe me da um biscoito? -Pegue você mesmo meu filho. -Mas eu não tenho braços!! -Sem braços sem biscoito!;1;0;0;0;0;0;0;0;1;0;0;0
Mãe desiste eu sou gorda e feia e ñ há volta a dar e se não gostas lembra-te q foste tu q fizeste mal o trabalho, aceita q dói menos;1;1;1;0;0;0;0;0;0;0;0;0
Oxente! Pq? Sou tão santa... rs...RT @agdabritto  @DocePimenta_Sp oooooooooo maluca;0;0;0;0;0;0;0;0;0;0;0;0
@Giane13 sapatão? isso é bem coisa de sapatão shauishaius;1;0;0;0;0;1;0;0;0;0;0;0
oficialmente a mulher mais burra do mundo;1;1;0;0;0;0;0;0;0;0;0;0
na hora nem me toquei que era por causa do dia da mulher, cuidado com a burra;1;1;0;0;0;0;0;0;0;0;0;0
passando aqui só pra dizer que nao interessa se é puta, santinha, gorda, magra, feia ou bonita, se eu amar essa pessoa, pau no cu de todos;1;1;0;0;0;0;0;0;0;0;0;0
@Liechoscki ah? Só não tenho vontade de ter...;0;0;0;0;0;0;0;0;0;0;0;0
"Em campo de novo, pode vir, tem vitória
A maioria é o povo, só quer fazer o bem
Nego faz refém, os branco que aqui tem";1;0;0;1;0;0;0;0;0;0;0;0
"""o feminismo é importante demais para ficar nas mãos das feministas"" - saiu na @folha em pleno 8 de março";1;1;0;0;1;0;0;0;0;0;0;0
tem mão de homem, ou seja, com calos.;1;1;0;0;0;0;0;0;0;0;0;0
@LeoLimaDuarte @gabrisinhas pode crer que num deslize qualquer a gente arranja.;0;0;0;0;0;0;0;0;0;0;0;0
"Nos primeiros 30min da Red Carpet só vemos a malta que ninguém se lembra quem é.
Ou como se diz em Portugal, ""vencedores do Ídolos""
#Oscars";0;0;0;0;0;0;0;0;0;0;0;0
RT @NoutraCoisa: Namoradas que hoje não queiram sexo em vez da desculpa da dor de cabeça vestem uma camisola do Ederson. Não entra nada.;1;1;0;0;0;0;0;0;0;0;0;0
DISTRIBUÍ NO PROTESTO ONTEM KKKK A CULPA NÃO É MINHA HEIN http://t.co/at193MaRgK;0;0;0;0;0;0;0;0;0;0;0;0
Como que essas meninas consegue ir pra escola toda bonitinha??? Eu vou igual um sapatão, ainda mais quando estou com sono;1;0;0;0;0;1;0;0;0;0;0;0
@luizsergiovo : ser pós moderno não é coisa de @homemdeverdade, portanto @fodemal !;1;1;0;0;0;0;0;0;0;0;0;0
@bbb17aovivo quero ver a cara do recauque quando a emili pegar o lider e joga a roberta no paredao aquela vaca fausa gorda e feia rsrrsrsrsr;1;1;1;0;0;0;0;0;0;0;0;0
Parabéns pra sapatão mais piranha de santaa cruz!!! 19 ANOS NÉ PORRA. Teeeeeee amooo, que venha sábado bebê  @eaebeamaria;1;0;0;0;0;1;0;0;0;0;0;0
NÃO SOU PRECONCEITUOSO até tenho uma empregada negra;1;0;0;1;0;0;0;0;0;0;0;0
@homemdeverdade ? não! homem na metade - http://19.media.tumblr.com/tumblr_ktygckpa2E1qz88eno1_400.jpg;0;0;0;0;0;0;0;0;0;0;0;0
Tou a ver um filme de fufas aaaaa;1;0;0;0;0;1;0;0;0;0;0;0
galera eu notei que muitos donos de labradores acabam ficando cegos. NÃO COMPREM MAIS LABRADORES GENTE!!!;1;0;0;0;0;0;0;0;1;0;0;0
RT @favcamzjb: cheguei à conclusão de que eu sou feia e gorda;1;1;1;0;0;0;0;0;0;0;0;0
sabe quando voce eh feia e a sua cara eh gorda? eh o meu casokkk-chorando-;1;1;1;0;0;0;0;0;0;0;0;0
RT @XerequinhaC: Burra é a mulher que vira piranha pra provocar ex..;1;1;0;0;0;0;0;0;0;0;0;0
@a_angioletti @JOAQUINVOLTOU DEIXA EU ADIVINHAR...PÉSSIMA RELAÇÃO COM O PAI? GORDA FEIA SEQUER ASSEDIADA POR ALGUÉM?ACHO QUE OS DOIS HEIN...;1;1;1;0;0;0;0;0;0;0;0;0
@Sidneycarv @Pontifex_pt Mulçumanos matam cristãos e ele não fala nada. Defende a ida de refugiados mulçumanos para a Europa.;1;0;0;0;0;0;0;0;0;0;1;0
@euluana66 pois é! tem homem que acha que orgasmo feminino não existe (risos e pesames pelas mulheres que transaram com esses);1;1;0;0;0;0;0;0;0;0;0;0
RT @anamr_c: Fufas decentes hj é o nosso dia, mulheres;1;0;0;0;0;1;0;0;0;0;0;0
@Nath_santos20 - coisa feia é tu leitoa, tá gorda igual uma porca .. ;1;1;1;0;0;0;0;0;0;0;0;0
"RT @ZAMENZA: Roberta tem a mesma idade da Emilly. Mas sabem pq só uma é compreendida e dizem que vai melhorar?Pq a outra é ""feia"" e gorda.L _";1;1;1;0;0;0;0;0;0;0;0;0
Minha sala só sapatao e viado;1;0;0;0;0;1;0;0;0;0;0;0
@Direita_blog quem é contra o ISLÃ..defende muito mais a mulher do que qualquer outra feminista;0;0;0;0;0;0;0;0;0;0;0;0
O politicamente correto é algo completamente doentio, cogita até homem menstruar. https://t.co/OiUg6vHh4c;0;0;0;0;0;0;0;0;0;0;0;0
"homenagear torturador? pode
chamar outro deputado de viado boiola queima rosca? claro que pode
cuspir no mito? NUNCA";1;0;0;0;0;1;0;0;0;0;0;0
ent fufas e pretos quem mais adormeceu?;1;0;0;1;0;1;0;0;0;0;0;0
@gabi_bacelar pensava: sou horrorosa, gorda, tosca, feia, chata. ngm vai me querer. n mereço ngm alem dessa pessoa.;1;1;1;0;0;0;0;0;0;0;0;0
Então, o socialismo produz refugiados. O socialismo não falha. https://t.co/E7iM31S3CJ;1;0;0;0;0;0;0;0;0;0;1;0
E qual mulher tem força pra administrar um país?! Uma creche no máximo https://t.co/IROu8QAdcq;1;1;0;0;0;0;0;0;0;0;0;0
@spacelerman @noswse MEU DEUS A PAOLA CURITU MEU TWEET FALANDO QUE EU SOU SAPATAO E IBDICO CO PASAA MAL;1;0;0;0;0;1;0;0;0;0;0;0
@rainhadohate146 Tão mas tu és burra ou que ?Não percebeste o q eu disse? Tu és UMA MULHER ! É o teu dia ! Mas eu n stou a flr d nscr mulher;1;1;0;0;0;0;0;0;0;0;0;0
"RT @laurensexuals: se vc usa roupas complexas vc é ""sapatão"" ou falam que vc está metido com algo que não presta";1;0;0;0;0;1;0;0;0;0;0;0
Burra é a mulher que aceita ser amante!;1;1;0;0;0;0;0;0;0;0;0;0
"RT @maathbz: Saibam separar as coisas! Amanhã é o dia das mulheres!
O dia de quem se veste como mulher é 1º de Abril kkkkk";1;1;0;0;0;0;0;0;0;0;0;0
"""lugar de mulher é na cozinha""
Seus machistas de merda, lugar de mulher é onde ela quiser. Desde q pelada. https://t.co/xhKXOHQLlY";1;1;0;0;0;0;0;0;0;0;0;0
Mano q mulher inteligente da porra eu tô me sentindo burra;1;1;0;0;0;0;0;0;0;0;0;0
Mulher quando gosta do cara é burra demais;1;1;0;0;0;0;0;0;0;0;0;0
Pergunto-me se as fufas comparam o seu cheiro com o da parceira;1;1;0;0;0;1;0;0;0;0;0;0
Adoro essa energia daqui. Não gosto de lembrar que vou trabalhar no feriado. Mas, gosto de ter emprego. Então tá ótimo.. rs.;0;0;0;0;0;0;0;0;0;0;0;0
"""""""""""nao é que eu sou racista mas ele é  negro""""""""""";1;0;0;1;0;0;0;0;0;0;0;0
ia perguntar se o dia Internacional da mulher era no mundo todo mas parei um pouquinho pra pensar e agora eu to me sentindo BURRA;1;1;0;0;0;0;0;0;0;0;0;0
Velho ultrapassado e idiota só pq a mulher dele é preguiçosa e burra não nos inclua em sua perversão travamos nossa _ https://t.co/btLRgkGvNB;1;1;0;0;0;0;0;0;0;0;0;0
"Top 3 Filmes de guerra:
American Sniper
O resgate do Soldado Ryan
Falcão Negro em Perigo";0;0;0;0;0;0;0;0;0;0;0;0
"As mulheres n sabem lidar c/ a verdade.
Ontem disse a 1 amiga q ficava melhor d rabo-de-cavalo,começou a chorar e bazou para a quimioterapia";1;1;0;0;0;0;0;0;0;0;0;0
""" Burra é a mulher que aceita ser Amante Pois valorizar um traidor , Ajuda a destruir um relacionamento e nunca terá moral de ser única .. !";1;1;0;0;0;0;0;0;0;0;0;0
"@shitsokey seguiu-me esse e um de ""fufas do porto"" ontem e eu só pensei que fosse uma brincadeira mas não, levam essa merda a sério";1;0;0;0;0;1;0;0;0;0;0;0
"A minha mãe quer expulsar-me de casa pq aqui não existem ""fufas"" adoro a minha família";1;0;0;0;0;1;0;0;0;0;0;0
"RT @maathbz: Feministas:
Criticam decote da feminista
Ema Watson pq a desvaloriza
Acham que Ema Watson tem q se dar respeito
feministas _";1;1;0;0;0;0;0;0;0;0;0;0
Boom dia para quem sonhou com a sapatão mais linda,porém foi um sonho super bizarro q não lembro nem a metade;1;0;0;0;0;1;0;0;0;0;0;0
"RT @patxwxxd: feminazi
mulher é perigo dirigindo
loira burra
pega vários é piranha
roupa curta merece estupro
""homem é babaca""
NoOOoOOssa _";1;1;0;0;1;0;0;0;0;0;0;0
RT @Pacheco0o: Não sei qual o feeling mas nunca fecho a porta a #racharlenhapreta #overdosedetourette;0;0;0;0;0;0;0;0;0;0;0;0
@dassblog @xismaisxis no Islão as leis dos países não contam. Os muçulmanos respeitam-nas por conveniencia, não moralidade.;1;0;0;0;0;0;0;1;0;0;0;0
RT @Naraa_meireles: Como que essas meninas consegue ir pra escola toda bonitinha??? Eu vou igual um sapatão, ainda mais quando estou com so _;1;0;0;0;0;1;0;0;0;0;0;0
"talvez se eu nao tivesse descoberto gzsz no ano de enem estaria fazendo medicina
sapatao eh uma praga";1;0;0;0;0;1;0;0;0;0;0;0
"É sério eu não sei o que é pior na minha vida vey 
Ser pobre ou ser pobre gorda e feia??!!";1;1;1;0;0;0;0;0;0;0;0;0
@OdeCarvalho prefiro ser magra feia a ser gorda bonita. Mesmo se as gordas se arrumarem ñ adianta pela falta d elegancia do porte físico;1;1;1;0;0;0;0;0;0;0;0;0
e olha pra cara gorda e feia de Isabelle .. sem contar da voz irritante dela https://t.co/3PfOO1yeRf;1;1;1;0;0;0;0;0;0;0;0;0
Rindo até 2020. Foram reclamar do banimento do Trump de alguns países, ele foi lá e baniu todos os refugiados. Como não amar?! ;1;0;0;0;0;0;0;0;0;0;1;0
A Sbx deve ter sapatão nos organizadores kkkkk pq é só essas cover gay ue;1;0;0;0;0;1;0;0;0;0;0;0
RT @pedrohenri_lf: Orgulho Homo pode tweetar mas Orgulho Hetero é preconceito ? What's the problem with u guys ? '-';1;0;0;0;0;1;0;0;0;0;0;0
"MANDE SEU FILHO ARRUMAR UMA MULHER DECENTE NÃO UMA BISCATE
#JOAQUINRESPONDE https://t.co/bsXqWCpvua";1;1;0;0;0;0;0;0;0;0;0;0
@aninha_caraujo @sofiakalap @BiaMontezumaMF sua vida e babar o ovo da Bia , e a bia e feia e gorda !;1;1;1;0;0;0;0;0;0;0;0;0
kd as sapatao dessa uniritter;1;0;0;0;0;1;0;0;0;0;0;0
Ter cabelo curto é uma desgraça se sempre tá feia e gorda;1;1;1;0;0;0;0;0;0;0;0;0
Pra você que não gosta de futebol. Foda-se!!!! Seu mané sem alma.;0;0;0;0;0;0;0;0;0;0;0;0
@tafacill por mim seria 30 dias pra mulher e 1 dia pro homem;1;1;0;0;0;0;0;0;0;0;0;0
Meu filho comprou passagem internacional na @Decolar não pode viajar,ADIOU A VIAGEM e a #Decolar NÃO QUER REEMBOLSAR??? VOU PROCESSAR VCS;0;0;0;0;0;0;0;0;0;0;0;0
NÃO PRECISO FALA NADA PRA PEGA AS DONZELA NO CARNAVAL, SÓ MOSTRO MINHA CARTEIRA ASSINADA, 48 ANOS DE TRABALHO HONESTO ELAS FICAM ENCHARCADAS;1;1;0;0;0;0;0;0;0;0;0;0
Voltei do hospital agora, fui ver um tio que tá gay. Ele tá melhor, já tá pegando nos peito da enfermeira;1;0;0;0;0;1;0;0;0;0;0;0
@gabrielcosta101 dizem que não...;0;0;0;0;0;0;0;0;0;0;0;0
@idcgus se ela fosse sapatao eu te ajudava, amigo... mas ela ate namora um mlk;1;0;0;0;0;1;0;0;0;0;0;0
RT @Thalytaangelici: Por que sapatão sofre tanto;1;0;0;0;0;1;0;0;0;0;0;0
"Tenho que se preocupar com meu filho que tem 1 ano . Não com mulher Burra velha que também já tem filho . 
Sai fora eu em !!";1;1;0;0;0;0;0;0;0;0;0;0
hoje eu to so a rihanna na era sapatao;1;0;0;0;0;1;0;0;0;0;0;0
Fufas decentes hj é o nosso dia, mulheres;1;0;0;0;0;1;0;0;0;0;0;0
"RT @becsamorim: eu queria dedicar esse tweet à minha sapatonice
obrigada vida por ser sapatão
bjs";1;0;0;0;0;1;0;0;0;0;0;0
Dia da mulher e estou eu feita escrava a lavar a casa. Parece que sou burra.;1;1;0;0;0;0;0;0;0;0;0;0
Ser mulher é ter que provar todo dia que não é burra e é tão competente quanto qualquer um.;1;1;0;0;0;0;0;0;0;0;0;0
Homem que é homem só come carne. Peixe é coisa de bixa.;1;1;0;0;0;0;0;0;0;0;0;0
"mulher quando fica grávida fica burra!quando começa o nível de burrice e eu pergunto se é gestante, se a respsta é ""sim"" eu ate ja entendo!";1;1;0;0;0;0;0;0;0;0;0;0
@girlwithamask1 @DanSouza1988 não dá mesmo, o encanto acabou total! E o engraçado é q ele dizia q quando estava com a Laura em Angola ela;0;0;0;0;0;0;0;0;0;0;0;0
"Se o Kassabe fosse @homemdeverdade diria ""A culpa é minha, não fiz projeto algum para as chuvas e de vcs povão porco que não cobra nada""";0;0;0;0;0;0;0;0;0;0;0;0
"#QuartaDetremuraSDV
Mas Deus foi tao bom cmg. Pq hj ela ta mó gorda e feia.";1;1;1;0;0;0;0;0;0;0;0;0
A mulher é engenheira nuclear e consegue ser boa na cozinha puta merdaaaaa #MasterchefBR;0;0;0;0;0;0;0;0;0;0;0;0
@CapitalismoOP deve ter uma feminista peluda e bem gorda trabalhando no foicebook... ;1;1;0;0;1;0;0;0;0;0;0;0
RT @AstoonHabbo: Passando Camp Rock na Disney e eu só vendo o quanto ela era gorda e feia quando não tinha dinheiro;1;1;1;0;0;0;0;0;0;0;0;0
Os cara fica me expondo no trabalho. Me chamando de sapatao. Mereço.;1;0;0;0;0;1;0;0;0;0;0;0
RT @hezen10000: @DefesaHetero Viva a família tradicional e não a família artificial...;1;0;0;0;0;1;0;0;0;0;0;0
gorda e feia se mata kemilly https://t.co/lJWUQ55utL;1;1;1;0;0;0;0;0;0;0;0;0
"outra ""Jênia"" que acha que a violência contra a mulher no Brasil se dá pelo fato do país ser de maioria cristã, e n _ https://t.co/ELJBzzBFVu";1;1;0;0;0;0;0;0;0;0;0;0
Mas sinto-me tão feia.. tão gorda... tão nada comparado com todas as outras gajas. São tão lindas e dps existo eu.;1;1;1;0;0;0;0;0;0;0;0;0
2 FUFAS CONTRA UM PRETO TODO BACA;1;0;0;1;0;1;0;0;0;0;0;0
@larissasandy18 fui fazer luzes e a burra da mulher fez merda... Tá horrível;1;1;0;0;0;0;0;0;0;0;0;0
Bom dia, sapatão! ;1;0;0;0;0;1;0;0;0;0;0;0
"pelo menos eu descobri o nome da guria q eu queria
e como meu sapatômetro estava certo, ela é sapatão";1;0;0;0;0;1;0;0;0;0;0;0
Uma #MulherDeVerdade não sente inveja: É segura de suas qualidades e capacidades, sem menosprezar as dos outros.;1;1;0;0;0;0;0;0;0;0;0;0
tava me inscrevendo no Sisu e não achei a opção cota para branco.... MEC assim n da pra te ajudar miga;1;0;0;1;0;0;0;0;0;0;0;0
"Eu no 6° ano sentia-me rebelde porque chamava às minhas amigas ""fufinha"" e elas ficavam felizes qd na vdd insinuava q eram fufas";1;0;0;0;0;1;0;0;0;0;0;0
RT @DilanRules: só não percebo o orgulho destas fufas https://t.co/PQbszZq7iG;1;0;0;0;0;1;0;0;0;0;0;0
Atraído pelo forte cheiro a enxofre, Passos Coelho deslocou-se esta manhã a Setúbal. Como não encontrou o Diabo, vingou-se no choco frito.;0;0;0;0;0;0;0;0;0;0;0;0
@ning_em não, por questões d adaptação, mete um inglês branco como neve em angola e vê em qnt tempo ele apanha um escaldão;0;0;0;0;0;0;0;0;0;0;0;0
Várias sapatão linda aqui na escola kero;1;0;0;0;0;1;0;0;0;0;0;0
@g1 a questão não é preconceito. É a ilegalidade! Drogas que entram pelo México e terroristas travestidos de refugiados.;1;0;0;0;0;0;0;0;0;0;1;0
"RT @alerodrigues247: Como ser feminista:
Ser feia e gorda
Pagar peitinho em passeata
Ser peluda
Odiar homens
E achar q isso fará diferença _";1;1;1;0;1;0;0;0;0;0;0;0
N vou aguentar aquele tanto de sapatão na sala que fica me encarando..;1;0;0;0;0;1;0;0;0;0;0;0
Essas fufas não me ligam nenhuma mas depois  quando estão mal com as namoradas já querem marcar um date porque têm saudades lol;1;0;0;0;0;1;0;0;0;0;0;0
quando a pessoa é burra demais pra entender que o dia da mulher só foi por causa das lutas feministas https://t.co/exR2A583DT;0;0;0;0;0;0;0;0;0;0;0;0
"- Moça eu quero aquele tênis.
- Aquele é pra homem
- Mas vc acha que o tênis vai reparar?";1;1;0;0;0;0;0;0;0;0;0;0
Uma #MulherDeVerdade gosta de agradar e dar carinho ao parceiro, mas não faz NADA  apenas pelo outro, ou que a desagrade.;1;1;0;0;0;0;0;0;0;0;0;0
RT @iStevenOficial: eu ainda não superei o fim de 2010;0;0;0;0;0;0;0;0;0;0;0;0
mulher eh uma coisa maravilhosa demais vei eu amo ser sapatao;1;0;0;0;0;1;0;0;0;0;0;0
RT @FilhaDeEva_: ... Agora refugiados com uma ideologia e Cultura completamente INCOMPATÍVEIS com as nossas, aí não tem como mesmo!;1;0;0;0;0;0;0;0;0;0;1;0
FONGAS, FUFAS, SAPATONAS, LÉSBICAS – Capazes https://t.co/VRksVR4JsT;1;0;0;0;0;1;0;0;0;0;0;0
"Cuidado com a burra falando mal do feminismo ""atual"". Mas gente, mulher ignorante assim é uó. É cada coisa né non.";1;1;0;0;0;0;0;0;0;0;0;0
"A SorosMídia tenta de todas as maneiras fazer o ocidente ""engolir"" os refugiados.
Aqui não neném..... https://t.co/RrgarkZU6S";1;0;0;0;0;0;0;0;0;0;1;0
@ibrags isso é doideira. Os sírios-libaneses quando vieram pra cá não receberam 1% das benesses desses refugiados, mas agradeciam;1;0;0;0;0;0;0;0;0;0;1;0
imagina se você cutucar a pessoa no facebook só que ela tem hanseníase e não sente;0;0;0;0;0;0;0;0;0;0;0;0
Gente, sapatão é uma coisa q me assusta https://t.co/hYXY938g3G;1;0;0;0;0;1;0;0;0;0;0;0
e nem precisa ser macho pra postar/pensar dessa forma, tem muita mulher assim também *ache a burra*;1;1;0;0;0;0;0;0;0;0;0;0
por que eu não posso chamar ele de PRETO se ele me chama de BRANQUELO AZEDO;1;0;0;1;0;0;0;0;0;0;0;0
"""Cem homens podem formar um acampamento, mas é preciso uma mulher para se fazer um lar."" #MulherDeVerdade";1;1;0;0;0;0;0;0;0;0;0;0
