;text;Hate.speech;Sexism;Body;Racism;Ideology;Homophobia;Origin;Religion;Health;OtherLifestyle;Migrants;Ageing
35;@LeNaZZo, @homemdeverdade mesmo, tem que ter 2 filhos em 24 territórios a sua escolha....;1;1;0;0;0;0;0;0;0;0;0;0
36;RT @LeNaZZo @homemdeverdade nao paga pau. Ele paga uma mocreia para tirar a zica.;1;1;0;0;0;0;0;0;0;0;0;0
37;Só pra deixar claro, @homemdeverdade não faz clube do macho, turminha da foda, essas merdas machistas de baitolas recatadas !;1;1;0;0;0;0;0;0;0;0;0;0
38;RT @chastinet: pro @homemdeverdade construção se resume a duas coisas: Concreto e madeira.;1;1;0;0;0;0;0;0;0;0;0;0
39;RT @LeNaZZo: Um @homemdeverdade eh akele q sabe procriar sem deixar vestigios.;1;1;0;0;0;0;0;0;0;0;0;0
40;Sugestões para um 2010 melhor: Canonizar a Punheta, a Santa Punheta, a Sagrada Bronha de domingo. Melhor amiga do @homemdeverdade !;1;1;0;0;0;0;0;0;0;0;0;0
43;"""As melhores mulheres são as que querem trepar com você, e as piores são as que não querem."" - Lemmy - Motörhead - @homemdeverdade";1;1;0;0;0;0;0;0;0;0;0;0
44;Homem de verdade que não sabe desenhar um Pinto, não conhece o pau que tem! Honre seu Pinto!!!!;1;1;0;0;0;0;0;0;0;0;0;0
47;Heterosexual e homem de verdade #twittealgomuitoantigo;1;1;0;0;0;1;0;0;0;0;0;0
48;Saber pegar sua mulher sem parecer um babaca #twittealgomuitoantigo;1;1;0;0;0;0;0;0;0;0;0;0
50;@LeNaZZo os parametros para notas são complexos, em resumo: Marlene Mattos é 0, Monica Bellucci é 10 e vc só pegaria a partir do 5 bom...;1;1;0;0;0;0;0;0;0;0;0;0
56;@mariolemes Vc é @homemdeverdade ? E tem Twitter ?;1;1;0;0;0;0;0;0;0;0;0;0
59;Claro que sim, é só vc não ser um babaca nerds, um valentão da rede, uma mulher imbecil, um hipster freak ou viciado em celebridades.;1;1;0;0;0;0;0;0;0;0;0;0
60;A propósito @homemdeverdade não vai a Campus Party, lugar de baitolinhas sem amigos reais!!!! e muito virgem também.;1;1;0;0;0;0;0;0;0;0;0;0
62;@homemdeverdade não precisa de #lingerieday, puta parada de Barangas-Nerds atrás de rolas virgens! Pra isso tem sites pornôs bem melhores...;1;1;0;0;0;0;0;0;0;0;0;0
63;#CampusParty! Esse lugar que deve feder espinha azeda que passou da validade, tem menos mulher do que um vale tudo em Juazeiro !;1;1;0;0;0;0;0;0;0;0;0;0
65;homem que é homem só conhece dois cheiros de mulher: o bom e o ruim.;1;1;0;0;0;0;0;0;0;0;0;0
70;Homem que é homem arrota com suco de laranja.;1;1;0;0;0;0;0;0;0;0;0;0
71;Palavra do dia que homem que é homem não diz: Fragrância.;1;1;0;0;0;0;0;0;0;0;0;0
72;homem que é homem arrota com suco de laranja, no ouvido da namorada.;1;1;0;0;0;0;0;0;0;0;0;0
73;Homem que é homem só come carne. Peixe é coisa de bixa.;1;1;0;0;0;0;0;0;0;0;0;0
76;Homem que é homem brinca de girocóptero no banheiro da casa da sogra.;1;1;0;0;0;0;0;0;0;0;0;0
78;Homem que é homem come doritos de pimenta com geléia extra-forte de pimenta e guaraná ice.;1;1;0;0;0;0;0;0;0;0;0;0
80;tem mão de homem, ou seja, com calos.;1;1;0;0;0;0;0;0;0;0;0;0
81;Homem que é homem não assiste a fazenda.;1;1;0;0;0;0;0;0;0;0;0;0
82;"""Musical? kiporréssa?!"" Por um homem que é homem";1;1;0;0;0;0;0;0;0;0;0;0
84;Homem que é homem não nota o esmalte das mulheres;1;1;0;0;0;0;0;0;0;0;0;0
85;"Homem que é homem não come; bebe.";1;1;0;0;0;0;0;0;0;0;0;0
86;Homem que é homem troca o pênis por 1 fígado a mais.;1;1;0;0;0;0;0;0;0;0;0;0
89;@fodemal se não sabe nadar amputa as pernas! Melhor um inválido do que um incompetente.;1;0;0;0;0;0;0;0;1;0;0;0
92;Feliz dos homens que gostam de mulheres - http://look-look.tumblr.com/;1;0;0;0;0;1;0;0;0;0;0;0
94;@homemdeverdade quando vacila assume rapidamente a responsabilidade e paga o erro com humor!;1;1;0;0;0;0;0;0;0;0;0;0
96;Essa hora sexta feira @homemdeverdade não vai pra baladinha de vagabundo....Essa hora já demos duas! Agora é só relax...;1;1;0;0;0;0;0;0;0;0;0;0
98;Fala ai mariquinhas e afins.... Como vai a falta de culhão para resolver qualquer coisinha ?;1;0;0;0;0;1;0;0;0;0;0;0
99;Agora sim @homemdeverdade pode usar perfume - http://www.youtube.com/watch?v=_wx6DP99bYE;1;1;0;0;0;0;0;0;0;0;0;0
101;Mesmo a pedidos, me recuso falar do BBB! @homemdeverdade não entra em programinha pra ganhar milhão. A gente ganha na batalha do dia a dia!;1;1;0;0;0;0;0;0;0;0;0;0
104;No futebol, #HQEH é atacante. Acha meio-de-campo coisa de veado.;1;1;0;0;0;1;0;0;0;0;0;0
105;#HQEH não sai mostrando a sua bunda em época de carnaval.;1;1;0;0;0;0;0;0;0;0;0;0
106;#HQEH não pergunta à esposa/namorada onde ela quer ir. Fala pra onde eles vão e pronto.;1;1;0;0;0;0;0;0;0;0;0;0
107;#HQEH acorda cedo pra assistir os jogos da Copa. #worldcup;1;1;0;0;0;0;0;0;0;0;0;0
125;"Não gosta de ""bater papo"" no MSN. Ele responde porque os outros falam. Nem tem tempo pra frescura.";1;1;0;0;0;0;0;0;0;0;0;0
129;Não gosta de fazer compras. Faz porque a mulher força.;1;1;0;0;0;0;0;0;0;0;0;0
130;Olha primeiro pros peitos das mulheres.;1;1;0;0;0;0;0;0;0;0;0;0
132;Tem amiga, mas morre de vontade é de comê-las!;1;1;0;0;0;0;0;0;0;0;0;0
150;Tá doendo simmm, tá doendo em mimmmmm... NAMORADA DE FELIPE MELO- http://www.youtube.com/watch?v=AjV6YjREKqM;1;1;0;0;0;0;0;0;0;0;0;0
231;#atoron RT @marcoluque Se bem que podemos mesclar..uma bela espanhola numa linda holandesa...rsrsrs!;1;1;0;0;0;0;0;0;0;0;0;0
282;E vc aí franguinha dessossada que só reclama da vida! Para de chorar porra.;1;1;0;0;0;0;0;0;0;0;0;0
298;Na luta contra os jogadores de Golf e todos esses pulhas vagabundos bundões que insistem em passar creme na porra do rosto! Creme não porra!;1;1;0;0;0;0;0;0;0;0;0;0
307;aos mariquinhas que passam o dia twittando, eu voltei.;1;0;0;0;0;1;0;0;0;0;0;0
311;Seja piriguéte e nos conquiste no ato. Se dê o valor e nos conquiste por toda uma vida.;1;1;0;0;0;0;0;0;0;0;0;0
314;Mulher é um parque de diversões. A começar pelo humor: uma montanha-russa.;1;1;0;0;0;0;0;0;0;0;0;0
318;Você que adora alfinetar os amigos homens falando de famosos lindos. Lembre-se que eles não pegariam você, se a conhecessem.;1;1;0;0;0;0;0;0;0;0;0;0
321;O orgulho hetero é tão válido quanto o orgulho homo. Se um pode ter orgulho por que o outro não? #orgulhohetero;1;0;0;0;0;1;0;0;0;0;0;0
322;Não somos discriminadores, ao contrário, queremos igualdade! #orgulhohetero;1;0;0;0;0;1;0;0;0;0;0;0
323;Nós heteros, que AINDA somos maioria, devemos nos unir contra a ditadura da minoria. Abaixo a #heterofobia !!!!;1;0;0;0;0;1;0;0;0;0;0;0
324;RT @RobsonhReal: Orgulho Hetero seempreee .;1;0;0;0;0;1;0;0;0;0;0;0
325;RT @lucasmcml: Orgulho Hetero... show *w*;1;0;0;0;0;1;0;0;0;0;0;0
326;RT @samucasg: Orgulho Hetero seempree;1;0;0;0;0;1;0;0;0;0;0;0
327;RT @pedrohenri_lf: Orgulho Homo pode tweetar mas Orgulho Hetero é preconceito ? What's the problem with u guys ? '-';1;0;0;0;0;1;0;0;0;0;0;0
328;RT @OficialJoao: Orgulho Hetero  Homofobia. Abs;1;0;0;0;0;1;0;0;0;0;0;0
329;RT @mundodrogado: Antes o homossexualismo era proibido.Depois passou a ser tolerado.Hoje é normal.Eu vou embora antes que vire obrigatór ...;1;0;0;0;0;1;0;0;0;0;0;0
330;RT @ritocca: Quem é a favor da criação do Dia Nacional do Orgulho Heterossexual - popularmente falando Dia do Hétero - diga EU.;1;0;0;0;0;1;0;0;0;0;0;0
331;RT @bonisss: A cada dia que passa cresce aindamais os adeptos à Marcha do Orgulho Hétero!!! RT Pelos poucos héteros que restam!!;1;0;0;0;0;1;0;0;0;0;0;0
332;Abaixo, apenas alguns exemplos de manifestação a favor do direito ao orgulho hetero.;1;0;0;0;0;1;0;0;0;0;0;0
333;A luta continua #orgulhohetero !;1;0;0;0;0;1;0;0;0;0;0;0
334;Eles fizeram a marcha deles, nós temos o direito de nos expressarmos também. Dia do #orgulhohetero JÁ!;1;0;0;0;0;1;0;0;0;0;0;0
335;RT @Dona_Lola: Como ter orgulho do q eu sou reprime qm não é? #orgulhohetero;1;0;0;0;0;1;0;0;0;0;0;0
336;"""Há homens que têm patroa.
Há homens que têm mulher.
E há mulheres que escolhem o que querem ser."" #MulherDeVerdade";1;1;0;0;0;0;0;0;0;0;0;0
341;"""A maior ambição da mulher é despertar o amor."" #MulherDeVerdade";1;1;0;0;0;0;0;0;0;0;0;0
342;"""A mulher tem uma única via para superar o homem: ser mais mulher a cada dia."" #MulherDeVerdade";1;1;0;0;0;0;0;0;0;0;0;0
343;O desejo do homem é pela mulher, mas o desejo da mulher é pelo desejo do homem. Ou mais... #MulherDeVerdade;1;1;0;0;0;0;0;0;0;0;0;0
345;"""Mulher: a mais nua das carnes vivas e aquela cujo brilho é o mais suave."" #MulherDeVerdade";1;1;0;0;0;0;0;0;0;0;0;0
346;"""Deus criou a mulher de uma costela, de um osso torto. Se procurares endireitá-la, quebrará. Tenham pois paciência c elas."" #MulherDeVerdade";1;1;0;0;0;0;0;0;0;0;0;0
347;"""As mulheres estão descobrindo que mulher é bom - coisa que os homens já sabem há séculos.""  #MulherDeVerdade";1;1;0;0;0;0;0;0;0;0;0;0
348;"""Cem homens podem formar um acampamento, mas é preciso uma mulher para se fazer um lar."" #MulherDeVerdade";1;1;0;0;0;0;0;0;0;0;0;0
349;"""A mulher deve ser lentamente decifrada, como o enigma que é: encanto a encanto."" #MulherDeVerdade";1;1;0;0;0;0;0;0;0;0;0;0
350;"""Uma mulher nua seria menos perigosa q é uma saia habilmente exibida, q cobre tudo e, ao mesmo tempo, deixa tudo à vista."" #MulherDeVerdade";1;1;0;0;0;0;0;0;0;0;0;0
351;"""Mulher nova, bonita e carinhosa
Faz o homem gemer sem sentir dor.."" #MulherDeVerdade";1;1;0;0;0;0;0;0;0;0;0;0
354;Uma #MulherDeVerdade acredita no amor, mas não vira refém dele.;1;1;0;0;0;0;0;0;0;0;0;0
357;Uma #MulherDeVerdade pode usar silicone. Mas usará seu cérebro em primeiro lugar.;1;1;0;0;0;0;0;0;0;0;0;0
358;Uma #MulherDeVerdade prefere amor, tesão, envolvimento a preconceitos.;1;1;0;0;0;0;0;0;0;0;0;0
363;Uma #MulherDeVerdade não sente inveja: É segura de suas qualidades e capacidades, sem menosprezar as dos outros.;1;1;0;0;0;0;0;0;0;0;0;0
364;Uma #MulherDeVerdade dá valor às mais belas qualidades dos seres humanos. E dá valor aos amigos verdadeiros.;1;1;0;0;0;0;0;0;0;0;0;0
365;Uma #MulherDeVerdade se cuida. Quer estar linda, gostosa, apetitosa e, principalmente, inteligente. Mas, para ela mesma, em 1º lugar.;1;1;0;0;0;0;0;0;0;0;0;0
366;Uma #MulherDeVerdade é curiosa, bem informada, gosta de conhecer o novo...;1;1;0;0;0;0;0;0;0;0;0;0
367;Uma #MulherDeVerdade dá valor à beleza. Mas sua maior preocupação é o conteúdo. E ela o tem. E encanta por isso.;1;1;0;0;0;0;0;0;0;0;0;0
368;Uma #MulherDeVerdade é boa de cama, gosta de seduzir, de ser seduzida. Gosta de provocar. E não tem frescurinhas.;1;1;0;0;0;0;0;0;0;0;0;0
369;Uma #MulherDeVerdade gosta de agradar e dar carinho ao parceiro, mas não faz NADA  apenas pelo outro, ou que a desagrade.;1;1;0;0;0;0;0;0;0;0;0;0
370;Uma #MulherDeVerdade não é adepta a joguinhos infantis. É sincera, fala o que pensa e o que sente.;1;1;0;0;0;0;0;0;0;0;0;0
371;RT @MonikaSouzaS: Só eu acho (muito) esquisito essas mulheres todas artificiais que falam gemendo pelo nariz? #PreguicaDeGenteSemConteudo;1;1;0;0;0;0;0;0;0;0;0;0
380;mulheres por favor PAREM de raspar a cabeça dos lados fica parecendo que vcs tem câncer pela metade;1;1;0;0;0;0;0;0;0;0;0;0
382;abri a janela tava uma gorda no apartamento da frente olhando pra baixo e chorando, acho que caiu a empadinha dela;1;1;1;0;0;0;0;0;0;0;0;0
392;indo dormir de luz acesa em homenagem ao nordeste;1;0;0;0;0;0;1;0;0;0;0;0
400;RT @DanTeiixeira: @HumorNegroo Não apague não, sou do nordeste e levo sempre na brincadeira, não vejo motivo nenhum pra tanta revolta !;1;0;0;0;0;0;1;0;0;0;0;0
403;to começando a acreditar que jesus foi crucificado por ter feito uma piada do nordeste;1;0;0;0;0;0;1;0;0;0;0;0
427;a mina é tão gorda quem nem a indireta que mandei pra ela serviu;1;1;1;0;0;0;0;0;0;0;0;0
433;quando alguém te chamar de gordo não ligue você é maior que tudo isso;1;0;1;0;0;0;0;0;0;0;0;0
448;"se tem uma coisa que eu odeio começa com ""PRE"" e termina com ""TO"" isso mesmo preconceito";1;0;0;1;0;0;0;0;0;0;0;0
464;e tem nordestino e manaura achando ruim das piadinhas regionais... vcs sempre serão zuados, eu msm me certificarei disso. acostumem-se;1;0;0;0;0;0;1;0;0;0;0;0
479;@JessicaaFranca uma coisa é rir e fazer piada, outra coisa é usar da fé pra manipular a opinião dos fiéis e ganhar $. se toca loira burra;1;1;1;0;0;0;0;0;0;0;0;0
483;é tanta caloura sapatão que vai ter apresentações de voz e violão na cantina durante os intervalos;1;0;0;0;0;1;0;0;0;0;0;0
495;"hj eu vi uma gorda tirar as havaianas pra pesar na farmácia e entendi o significado da palavra ""esperança""";1;1;1;0;0;0;0;0;0;0;0;0
497;galera eu notei que muitos donos de labradores acabam ficando cegos. NÃO COMPREM MAIS LABRADORES GENTE!!!;1;0;0;0;0;0;0;0;1;0;0;0
508;-Mãe me da um biscoito? -Pegue você mesmo meu filho. -Mas eu não tenho braços!! -Sem braços sem biscoito!;1;0;0;0;0;0;0;0;1;0;0;0
523;"eu queria namorar uma sem teto, aí eu perguntaria ""NA SUA CASA OU NA MINHA?"" ai a gente ia rir e rir e rir e beber pinga de R$0,50";1;0;0;0;0;0;0;0;0;1;0;0
543;a sapa dessa cidade sou eu;1;0;0;0;0;1;0;0;0;0;0;0
546;"Lligação prum gordo: ""E AE GORDO, BORA ALMOÇA??"" ""BORA, DEIXA EU SÓ TERMINA DE ALMOÇA AQUI""";1;0;1;0;0;0;0;0;0;0;0;0
547;perguntei uma surda se ela gostava de ouvir musica meu deus como sou burro kkkkkkkkkkkkkk qm nao gosta de ouvir musica;1;0;0;0;0;0;0;0;1;0;0;0
548;Voltei do hospital agora, fui ver um tio que tá gay. Ele tá melhor, já tá pegando nos peito da enfermeira;1;0;0;0;0;1;0;0;0;0;0;0
552;a maior diferença entre os criminosos e as outras pessoas é que os criminosos são estúpidos o suficiente para serem pegos;1;0;0;0;0;0;0;0;0;1;0;0
557;se a menina chama rayane quando faz 15 anos automaticamente fica grávida;1;1;0;0;0;0;0;0;0;0;0;0
562;a vantagem de namorar uma mendiga é que na hora de levar embora pra casa vc pode deixá-la em qualquer lugar;1;1;0;0;0;0;0;0;0;1;0;0
564;amo os negros são tao gnt boa, é uma pena q pararam de vender;1;0;0;1;0;0;0;0;0;0;0;0
565;Puta saudade de postar uns bagulho machista nessa porra mas agora as mulheres aprenderam a ler;1;1;0;0;0;0;0;0;0;0;0;0
566;orgulho de ser BRANCO;1;0;0;1;0;0;0;0;0;0;0;0
568;hoje em dia até dizer que tem orgulho de ser branco é racismo aff vcs;1;0;0;1;0;0;0;0;0;0;0;0
569;por que eu não posso chamar ele de PRETO se ele me chama de BRANQUELO AZEDO;1;0;0;1;0;0;0;0;0;0;0;0
572;NÃO SOU PRECONCEITUOSO até tenho uma empregada negra;1;0;0;1;0;0;0;0;0;0;0;0
574;vc é um negão de tirar o CHAPÉU;1;0;0;1;0;0;0;0;0;0;0;0
576;racismo está nos olhos de quem vê;1;0;0;1;0;0;0;0;0;0;0;0
577;~*~*~*~ vOcÊ é NeGrA mAs AtÉ qUe é BoNiTa ~*~*~*~;1;1;0;1;0;0;0;0;0;0;0;0
578;a solução para o racismo é PARAR DE FALAR SOBRE ELE foi o morgan freeman q disse;1;0;0;1;0;0;0;0;0;0;0;0
579;POR QUE SÓ TEM GLOBELEZA MULATA ISSO SIM É PRECONCEITO BRANCA NÃO SABE SAMBAR NÃO É ISSO ?????????????;1;0;0;1;0;0;0;0;0;0;0;0
584;RT @gentemagra1: não tenho preconceito, até tenho amigas gordas, adoro sair com elas chamo mais a atenção rsrsrsrs;1;1;1;0;0;0;0;0;0;0;0;0
591;nada contra negros mas minha filha não vai trazer bandido pra casa não...............;1;0;0;1;0;0;0;0;0;0;0;0
593;Fui à praia hj voltei neguinha rsrsrs;1;1;0;1;0;0;0;0;0;0;0;0
594;essa gente que quer combater o racismo mas diz q por uma pessoa ser branca ela não pode fazer x coisa.....tipo se vestir de iemanjá;1;0;0;1;0;0;0;0;0;0;0;0
595;N sou racista pq racismo É CRIME e crime é coisa de pretokkkkkk;1;0;0;1;0;0;0;0;0;0;0;0
596;Batom vermelho só é bonito em gente branca;1;0;0;1;0;0;0;0;0;0;0;0
598;Vcs não percebem que o racismo acabou com o fim da escravidão???;1;0;0;1;0;0;0;0;0;0;0;0
600;RT @homemcis: mostrar as tetas não vai acabar com o machismo;1;1;0;0;0;0;0;0;0;0;0;0
604;"""83 negros mortos por dia no brasil"" e os brancos não morrem também???";1;0;0;1;0;0;0;0;0;0;0;0
605;fui na 25 de março hj e nossa gente como é difícil ser índio no brasil viu.... tem ate q vender pulserinha;1;0;0;1;0;0;0;0;0;0;0;0
607;jApOnÊs AbRe TeU oLhO;1;0;0;1;0;0;1;0;0;0;0;0
609;@pj_igor os negros não vão gostar.;1;0;0;1;0;0;0;0;0;0;0;0
610;Nada contra negros mas EU PREFIRO aquele branquelo palmito cor de leite pra bejar na boca rsrs;1;0;0;1;0;0;0;0;0;0;0;0
611;odeio gente que fala que so pq a iggy eh branca ela n pode cantar rap mano QUE;1;0;0;1;0;0;0;0;0;0;0;0
613;@linknpacto pq você aprendeu a gostar de branco e vê negro como não-atraente inconscientemente. culpados: mídia, família, brancos em geral.;1;0;0;1;0;0;0;0;0;0;0;0
619;reclama de racismo........mas e as cota hein miga? só privilégios;1;0;0;1;0;0;0;0;0;0;0;0
622;vamo ser negro mas nao vamo abusar ne;1;0;0;1;0;0;0;0;0;0;0;0
624;aff pq vc pinta o cabelo........td mundo sabe q vermelho e loiro só fica bom em tom de pele clara;1;0;0;1;0;0;0;0;0;0;0;0
626;tava me inscrevendo no Sisu e não achei a opção cota para branco.... MEC assim n da pra te ajudar miga;1;0;0;1;0;0;0;0;0;0;0;0
627;nada contra negros mas nada contra usar desodorante tb ne;1;0;0;1;0;0;0;0;0;0;0;0
628;Tinha que ser preto (nada contra))));1;0;0;1;0;0;0;0;0;0;0;0
644;"""""""""""nao é que eu sou racista mas ele é  negro""""""""""";1;0;0;1;0;0;0;0;0;0;0;0
646;a cota de negro aumentou nesse BBB né;1;0;0;1;0;0;0;0;0;0;0;0
654;@mismuscaria ele quis dizer que o negro construiu a faculdade.;1;0;0;1;0;0;0;0;0;0;0;0
657;ai tem muito preto no bbb nem vo assistir kkk;1;0;0;1;0;0;0;0;0;0;0;0
659;,,,,, os negros que estudem eu estudei  ,,,,,,,,,;1;0;0;1;0;0;0;0;0;0;0;0
663;@pj_igor o adreanu é negro;1;0;0;1;0;0;0;0;0;0;0;0
674;@gabrisinhas @LeoLimaDuarte o meu mundo é bem real, já o seu parece conto de fadas, já que a vida de negro é bem mais fácil.;1;0;0;1;0;0;0;0;0;0;0;0
685;@gabrisinhas @LeoLimaDuarte racismo inverso é mimimi de branco. deus é uma palavra que existe, mas deus não existe miga;1;0;0;1;0;0;0;0;0;0;0;0
686;racismo inverso existe sim veja a sintaxe da palavra.........;1;0;0;1;0;0;0;0;0;0;0;0
687;@gabrisinhas @LeoLimaDuarte vc acha que o racismo é culpa dos negros agora?;1;0;0;1;0;0;0;0;0;0;0;0
690;sai ow não sou tuas nega;1;1;0;1;0;0;0;0;0;0;0;0
692;@jotap_rios samba é cultura negra. independente se o negro não saiba sambar. brancos podem sambar, mas não podem representar o samba.;1;0;0;1;0;0;0;0;0;0;0;0
695;RT @_cinnamongirl: eu toda vez que vejo alguém falando que racismo inverso existe http://t.co/LIEJJCUlVy;1;0;0;1;0;0;0;0;0;0;0;0
699;negras, queimem seus sutiãs, vocês estão se apropriando da cultura branca norte-americana!!!;1;1;0;1;0;0;0;0;0;0;0;0
708;@gentebranca1 negras não pode pintar cabelo É APROPRIAÇÃO O K http://t.co/bC5yqdB78f;1;1;0;1;0;0;0;0;0;0;0;0
716;@adiosiago @amandassini quando branco acha que racismo é coitadismo só me dá mais vontade de continuar com o perfil;1;0;0;1;0;0;0;0;0;0;0;0
726;@AleMagnnusb não é racismo nem machismo esteriotipar uma mulher por causa dolugar que ela nasceu ne claro que não;1;1;0;0;0;0;0;0;0;0;0;0
738;minha mulher está ministrando um curso de atualização para secretárias do lar no RJ, onde já se viu pendurar pano de prato no ombro!!!;1;1;0;0;0;0;0;0;0;0;0;0
742;Hoje em dia não pode mais praticar genocídio numa igreja que já é racismo;1;0;0;1;0;0;0;0;0;0;0;0
743;da educação que eu recebi em casa, homem foi feito pra mulher e vice verso...o resto é modinha !;1;0;0;0;0;1;0;0;0;0;0;0
747;Porra!!! Que programa racista esse #Esquenta !!! Só tem negros! Não tem um dedicado a loiras!!!!! Sou discriminada!!!!!;1;0;0;1;0;0;0;0;0;0;0;0
750;RT @daijikishigami: E se não for bonita ele não estupra porque não merece. Elas ficam muito tristes, imaginando esse varão nú. https://t.co _;1;1;0;0;0;0;0;0;0;0;0;0
751;"Bolsomito Kiridinha: ""Eu mesmo não acredito que isso ainda ocorra"", disse o deputado sobre a desigualdade salarial entre homens e mulheres.";1;1;0;0;0;0;0;0;0;0;0;0
771;"bandido bom é bandido morto
menos o cunha ele tá do nosso lado";1;0;0;0;0;0;0;0;0;1;0;0
778;"BANDIDO BOM EH BANDIDO MORTO
VIVA CUNHAA";1;0;0;0;0;0;0;0;0;1;0;0
779;"homenagear torturador? pode
chamar outro deputado de viado boiola queima rosca? claro que pode
cuspir no mito? NUNCA";1;0;0;0;0;1;0;0;0;0;0;0
788;como diz o ditado: vira homem;1;1;0;0;0;0;0;0;0;0;0;0
797;"meritocracia: existe
racismo: não existe since 1888";1;0;0;1;0;0;0;0;0;0;0;0
799;"claro que vc pode ir pro bm júnior sarra as 9nha ein filhao 
maria tá achando que vai aonde? sair depois da 7h?? quer ser estuprada na rua?";1;1;0;0;0;0;0;0;0;0;0;0
806;esquerdopata vai pra;1;0;0;0;1;0;0;0;0;0;0;0
807;"já falei que não sou racista porra
mas...";1;0;0;1;0;0;0;0;0;0;0;0
812;"homem morre: homicídio 
criança morre: homicídio
hetero morre: homicídio
gay morre: homofobia";1;0;0;0;0;1;0;0;0;0;0;0
819;"feliz dia das mães pras mães de verdade 
#NaoAoAborto";1;1;0;0;0;0;0;0;0;0;0;0
820;RT @therealbunk3r: @direitafalando feliz dia das mães só pras mães de familia tradicional;1;1;0;0;0;0;0;0;0;0;0;0
834;edai que o ministério do temer não tem mulheres nem negros??? eles não fizeram por merecer ue;1;1;0;1;0;0;0;0;0;0;0;0
843;"homem nasce homem
mulher nasce mulher";1;1;0;0;0;0;0;0;0;0;0;0
849;eu respeito homossexuais so n concordo nem quero q meu filho veja eles se beijando em público;1;0;0;0;0;1;0;0;0;0;0;0
860;direitos humanos só serve p defender bandido;1;0;0;0;0;0;0;0;0;1;0;0
863;eu nao sou homofóbico, mas...........;1;0;0;0;0;1;0;0;0;0;0;0
867;nao é pq o mito diz que mulher grávida tem que receber menos que ele é machista gente https://t.co/PQSwnv013j;1;1;0;0;0;0;0;0;0;0;0;0
868;Deus criou adao e eva e nao adao e ivo;1;0;0;0;0;1;0;0;0;0;0;0
869;RT @hezen10000: @DefesaHetero Viva a família tradicional e não a família artificial...;1;0;0;0;0;1;0;0;0;0;0;0
874;heterofobicos não passarão;1;0;0;0;0;1;0;0;0;0;0;0
880;edai que o trump nao gosta de latino?? ngm é obrigado a gostar de alguém nao;1;0;0;1;0;0;1;0;0;0;0;0
893;homofobia é o caralho para de mimimi o cara que entrou matando tb era gay, nao viu no jornal??;1;0;0;0;0;1;0;0;0;0;0;0
899;"RT @direitafalando: hj vou prestar queixa por ter sido vitima de racismo inverso
me chamaram de branco azedo";1;0;0;1;0;0;0;0;0;0;0;0
903;chamem as feministas p fazer uma manifestação pq n tem nenhuma mulher trabalhando na obra aq do lado isso é um absurdo #direitosiguais;1;1;0;0;0;0;0;0;0;0;0;0
912;RT @direitafalando: Deus criou adao e eva e nao adao e ivo;1;1;0;0;0;0;0;0;0;0;0;0
